s0,s1,s2,q_1,q_2,q_3,q_4,q_5
0,0,0,4.784352238805623e-06,2.5276313801326747e-05,0.0,3.355904343546901e-05,0.033521609357350025
0,0,1,0.0004827261865003334,0.002380712708807904,0.0,0.015371499694916867,0.06283261475958393
0,0,2,0.010954256902484945,7.709620229870147e-07,0.0,0.045606001772185406,0.07475389906474625
0,1,0,1.1683022353771697e-11,1.3490467068412125e-06,5.4893661878051495e-06,7.057807274333396e-07,0.018155359365591435
0,1,1,0.0024315411932521788,6.867242095844698e-06,0.0003216590192218444,0.008851422971420851,0.0726621726857566
0,1,2,0.01744220882629205,0.00092779703473966,0.004388847929140712,0.008645465434965038,0.1491378579180772
0,2,0,4.954305466013684e-13,8.904349986674731e-19,0.00032041763360795953,3.1399306798417624e-08,0.007362641849546486
0,2,1,5.253263035628309e-05,1.8587261746289475e-05,0.005706398782713978,3.5081358760760423e-05,0.04699964640652469
0,2,2,0.0002988362380554105,0.0025536790088145347,0.0035084978715897077,0.0029226692558271664,0.09839409525601332
1,0,0,0.00034638358511333806,0.0,0.0,0.0,0.01120085235293368
1,0,1,0.0,0.0,0.0,0.0,0.017851153209034423
1,0,2,2.657831341541607e-05,0.00520124577695869,0.0,0.05009951782966218,0.0
1,1,0,2.935134133011619e-08,8.19164987422014e-08,0.00022992068137709255,2.5571513881442973e-06,0.014007168760383097
1,1,1,1.3363030220957356e-05,0.0,1.2636222126372802e-05,1.2367548311378466e-05,0.025527293708928176
1,1,2,0.001190397193074108,0.03621881827418665,0.0,0.0019563851252141534,0.07009022284387738
1,2,0,8.739318655897149e-07,5.763515825797774e-10,2.709721675561975e-05,0.0,0.0037658908641146605
1,2,1,0.0,4.634572246767886e-06,7.996025063065763e-06,0.0018086649199711966,0.04194579564877845
1,2,2,1.5513683097697272e-05,0.0,0.0009098513417666006,0.015182219808470046,0.06274790450968436
2,0,0,1.7475208456415132e-05,0.0,0.0,0.0,0.007687057660950316
2,0,1,6.095346852713777e-05,0.0,0.0,0.00042473171770547325,0.021504778376825556
2,0,2,0.0070221298479155245,0.0,0.0,0.0,0.020955542686481744
2,1,0,0.0,1.0449659149027953e-08,2.052645697837451e-07,0.0,0.01026387571659252
2,1,1,0.0003201651871708754,0.0,0.0,0.0,0.019683951851626916
2,1,2,0.004141517969454197,0.0,0.0,0.0,0.10774125503734688
2,2,0,0.0,0.0,6.76716469330758e-05,1.225047020130555e-07,0.004928212474265949
2,2,1,2.1045641860607927e-05,0.005768789745073115,0.0031190232954450663,0.0,0.04587585950224981
2,2,2,0.0002626931151833248,0.0002610753009746084,0.00015791025089204928,0.0,0.12733345969837417
