s0,s1,s2,q_1,q_2,q_3,q_4,q_5
0,0,0,7.224650209936008e-05,0.008424474201094535,0.0,0.0019938018741140406,0.009870714241326765
0,0,1,0.002999346862427421,0.00014175875391568115,0.0,0.0,0.04182727526812603
0,0,2,0.0,0.01923067366732051,0.0,0.0345449310356688,0.1216153597877759
0,1,0,8.263912864446628e-06,1.7821144633125409e-06,0.00010310749088947446,5.179435952258406e-06,0.00411566705182039
0,1,1,0.0030807481841558,0.004009060179354159,0.002227518650521578,0.00015107517834946703,0.07673818167155944
0,1,2,0.008286487279212922,0.002120556990948343,0.0021587858064982366,0.06422300356960162,0.12460052681903981
0,2,0,3.8098985921937536e-05,1.5398338338275285e-11,0.00013158889025420412,3.459528047620467e-08,0.005946327194373419
0,2,1,5.732984711474922e-05,8.70631519990994e-05,0.0029040804927803064,0.0004547906825368889,0.03120840712517432
0,2,2,0.014992604566982877,0.005818757879520155,0.02139336637801631,0.023364170617525534,0.17754336410326627
1,0,0,5.1822151562684704e-05,0.0,0.0,0.0,0.0026217558100447656
1,0,1,0.0026634492725582776,0.0,0.0,0.0019792971975557314,0.094636275560473
1,0,2,0.012150877993795923,0.0,0.0,0.0,0.09482714501467392
1,1,0,2.0604277445460776e-07,0.0,9.330089193879246e-06,1.4507577937688272e-05,0.0031745209500132748
1,1,1,0.0,0.003761877357017883,0.0009030496322784947,0.001631160778554593,0.04732887066864146
1,1,2,0.0,0.0,0.0,0.06536208447536643,0.14683765558428113
1,2,0,9.374421692851074e-13,3.6123301364054357e-13,0.0006515146884076573,7.908996978417054e-13,0.01053620909163996
1,2,1,0.00023135381320657584,0.00035597846836383276,0.0030774751513387177,0.0023126062410203487,0.07237457518147697
1,2,2,0.00532558071652719,0.0,0.03015871040340997,0.021534693760432176,0.13629390384528386
2,0,0,0.00026152561744964054,0.0,0.0,0.0,0.020876334000231717
2,0,1,0.0014735248363882836,0.0,0.0,0.0,0.0
2,0,2,0.011319738180398416,0.0,0.0,0.0,0.05509995636457829
2,1,0,0.0,0.0,9.352060527660748e-08,0.0,0.009677985719979833
2,1,1,0.0,0.0,0.0,0.001266728626396301,0.019693434235657656
2,1,2,0.0,0.0,0.0,0.013125984545758217,0.1927743265269568
2,2,0,1.606831525455281e-09,0.0,1.7710635352813063e-05,9.786517801904804e-07,0.00240158698733296
2,2,1,0.0011881273915242227,0.0,0.002744957513720596,0.004604832796659717,0.040673040444921885
2,2,2,0.0,0.0,2.1306178102637584e-10,0.0,0.19602390439127163
