NOMBRE : N500E2000R100_01
COMENTARIO : Generated instance
VERTICES : 500
ARISTAS_REQ : 100
ARISTAS_NOREQ : 1900
COORDS :
1 3.000 8.400
2 3.700 6.700
3 5.900 4.000
4 6.800 1.700
5 1.800 8.700
6 3.000 6.600
7 0.100 8.400
8 1.400 9.100
9 4.500 4.200
10 1.300 1.200
11 2.700 0.200
12 8.400 9.100
13 4.100 0.900
14 8.600 6.700
15 5.800 2.300
16 0.100 5.700
17 9.300 8.700
18 6.500 5.100
19 2.400 8.400
20 8.400 7.300
21 0.700 5.900
22 2.400 9.800
23 5.900 5.700
24 7.200 0.500
25 5.200 0.500
26 8.300 4.900
27 0.400 6.000
28 8.300 2.300
29 0.500 2.800
30 2.800 8.300
31 8.400 3.100
32 6.100 8.900
33 8.200 2.500
34 4.200 3.700
35 9.800 3.500
36 1.900 5.900
37 0.900 4.800
38 9.500 2.800
39 1.900 7.900
40 6.200 8.500
41 7.100 7.000
42 1.200 1.000
43 9.800 5.400
44 2.400 5.200
45 4.800 9.600
46 7.800 2.600
47 8.500 3.500
48 5.400 6.000
49 4.400 6.000
50 2.300 8.900
51 5.800 6.700
52 1.600 6.800
53 6.400 6.900
54 1.800 3.000
55 2.500 8.300
56 6.300 3.400
57 0.300 3.300
58 9.600 3.400
59 7.400 0.800
60 7.200 9.200
61 4.400 7.100
62 4.000 3.600
63 0.200 1.800
64 2.600 7.800
65 7.600 9.500
66 0.500 4.700
67 6.300 9.000
68 7.000 5.300
69 9.900 5.500
70 6.500 2.100
71 2.500 3.300
72 8.200 8.900
73 4.000 5.200
74 4.800 6.900
75 9.700 1.400
76 8.900 8.700
77 4.100 6.200
78 8.400 9.500
79 3.000 2.700
80 5.100 5.500
81 5.100 7.300
82 0.700 0.300
83 6.000 9.900
84 9.200 8.800
85 2.300 6.700
86 7.600 9.100
87 0.400 6.300
88 6.700 3.000
89 8.800 8.300
90 4.900 2.100
91 6.500 7.700
92 5.800 6.300
93 1.100 6.400
94 8.800 8.400
95 0.800 2.500
96 2.500 4.600
97 8.600 0.700
98 9.500 6.100
99 7.500 0.300
100 2.900 9.900
101 9.400 2.700
102 2.600 7.000
103 2.600 3.000
104 4.600 3.800
105 1.500 0.700
106 4.300 8.900
107 8.700 2.100
108 2.200 9.400
109 5.200 1.500
110 1.900 3.500
111 0.400 3.500
112 3.700 1.200
113 7.000 7.700
114 2.900 6.400
115 0.900 0.800
116 2.500 8.800
117 5.400 2.800
118 7.100 4.200
119 1.800 5.300
120 7.900 1.900
121 2.800 1.000
122 3.900 4.300
123 2.900 2.800
124 4.400 5.900
125 7.800 6.900
126 2.400 0.700
127 3.700 0.100
128 7.800 1.700
129 7.200 5.500
130 1.900 1.800
131 6.100 8.500
132 6.500 4.200
133 6.000 8.600
134 8.800 3.800
135 9.000 5.400
136 3.600 9.100
137 3.600 0.500
138 2.000 5.800
139 2.800 0.500
140 1.700 5.500
141 8.800 2.000
142 7.800 3.600
143 5.200 9.100
144 2.200 1.800
145 0.700 2.800
146 4.800 5.700
147 6.400 1.100
148 8.400 1.600
149 6.900 7.300
150 8.900 5.400
151 4.000 9.700
152 3.600 7.000
153 2.800 2.300
154 5.900 7.500
155 0.600 8.900
156 0.100 5.900
157 6.900 2.900
158 5.700 9.000
159 4.100 4.000
160 9.600 5.800
161 8.500 5.000
162 2.700 5.900
163 4.200 2.600
164 6.500 7.800
165 5.800 0.700
166 1.200 4.800
167 6.600 9.000
168 0.500 8.400
169 4.000 8.300
170 3.600 9.900
171 8.100 0.800
172 0.700 2.200
173 6.700 8.200
174 6.700 7.000
175 4.700 9.200
176 7.100 8.700
177 5.000 7.800
178 3.700 6.200
179 4.000 3.300
180 1.500 8.700
181 8.600 3.700
182 4.600 3.600
183 4.300 1.000
184 6.700 1.500
185 8.100 0.200
186 8.900 7.500
187 9.600 0.500
188 5.500 2.800
189 8.000 3.600
190 5.900 4.500
191 6.600 7.500
192 0.200 8.300
193 1.000 0.200
194 8.900 8.300
195 0.700 2.900
196 2.100 0.400
197 7.200 1.800
198 7.300 7.800
199 1.600 3.500
200 9.000 4.200
201 9.500 3.000
202 7.600 0.800
203 0.900 2.400
204 3.200 4.200
205 0.500 1.200
206 9.600 4.200
207 9.200 8.500
208 8.200 2.000
209 6.400 8.700
210 5.300 9.800
211 7.800 0.700
212 1.000 0.500
213 8.500 9.900
214 6.900 7.400
215 9.100 8.500
216 2.600 2.700
217 7.700 2.600
218 0.700 5.200
219 0.300 6.300
220 0.700 3.800
221 3.700 1.400
222 0.700 5.600
223 5.700 4.200
224 9.900 1.200
225 5.200 9.300
226 5.200 5.000
227 9.700 0.200
228 2.500 3.400
229 7.800 9.400
230 5.400 9.700
231 8.900 3.700
232 4.900 8.000
233 7.500 2.000
234 6.900 1.600
235 0.500 3.600
236 5.800 0.600
237 5.900 7.100
238 8.100 4.000
239 5.100 2.300
240 1.400 0.700
241 4.200 6.200
242 6.800 9.600
243 4.400 3.600
244 9.500 9.000
245 3.000 3.500
246 6.300 0.400
247 5.300 4.700
248 2.700 2.600
249 2.600 2.300
250 6.400 5.100
251 6.900 9.900
252 2.500 0.500
253 3.300 1.900
254 9.300 2.500
255 0.000 0.000
256 6.200 2.800
257 6.000 6.800
258 8.800 7.400
259 9.200 5.200
260 3.300 0.500
261 1.700 2.700
262 1.400 3.400
263 0.600 4.800
264 4.300 2.900
265 7.600 7.500
266 4.600 5.900
267 2.400 0.600
268 7.500 2.100
269 1.000 8.700
270 3.100 8.300
271 3.900 4.000
272 4.200 0.200
273 4.400 9.200
274 4.200 0.600
275 6.800 2.100
276 5.800 9.600
277 8.400 5.400
278 4.600 9.100
279 6.300 8.800
280 0.300 2.000
281 1.800 5.800
282 8.700 5.600
283 7.200 9.400
284 3.900 4.600
285 1.200 1.800
286 3.800 6.200
287 5.500 7.800
288 5.000 3.300
289 2.100 2.700
290 6.400 4.100
291 2.600 3.300
292 7.700 8.300
293 1.700 7.000
294 5.600 0.100
295 9.000 1.100
296 2.500 4.500
297 9.200 4.600
298 2.300 9.300
299 3.800 3.400
300 8.500 5.300
301 2.700 4.100
302 3.300 0.900
303 8.000 0.400
304 5.700 2.300
305 9.500 5.900
306 2.400 9.200
307 7.300 6.100
308 6.100 2.700
309 4.200 5.000
310 1.400 6.200
311 7.700 7.100
312 0.900 1.700
313 6.100 7.700
314 0.200 8.200
315 7.800 5.700
316 8.900 6.900
317 2.100 1.300
318 8.000 0.600
319 9.400 2.800
320 0.900 5.200
321 3.600 8.100
322 4.900 6.300
323 3.400 6.300
324 5.000 7.700
325 5.700 1.300
326 3.900 8.300
327 6.900 1.100
328 2.100 6.200
329 3.500 9.900
330 3.200 4.800
331 5.000 6.900
332 8.700 0.700
333 6.900 8.300
334 8.900 7.100
335 3.200 8.200
336 9.300 4.300
337 9.700 6.100
338 3.200 3.600
339 7.500 4.600
340 1.200 2.500
341 6.000 6.300
342 0.200 6.500
343 8.200 2.900
344 8.800 6.600
345 0.400 4.300
346 1.700 7.500
347 8.300 5.200
348 6.200 7.300
349 7.200 5.100
350 0.000 5.400
351 1.300 1.400
352 9.300 4.700
353 9.400 7.800
354 7.100 6.100
355 5.100 8.900
356 8.000 6.900
357 4.100 5.300
358 7.800 7.000
359 3.200 4.500
360 4.500 5.400
361 5.700 1.700
362 8.200 6.400
363 6.000 1.300
364 5.800 6.500
365 9.400 1.500
366 0.100 5.300
367 4.700 8.200
368 6.000 6.600
369 7.300 3.600
370 3.200 5.600
371 1.700 3.900
372 4.600 4.200
373 1.800 2.300
374 8.200 2.400
375 0.100 0.900
376 5.200 5.900
377 5.700 8.000
378 7.200 9.500
379 8.000 3.900
380 6.100 1.400
381 7.800 1.000
382 0.700 1.500
383 9.200 5.800
384 2.400 6.600
385 3.100 3.800
386 5.200 4.100
387 6.300 4.900
388 1.800 9.100
389 4.700 2.700
390 4.100 9.600
391 1.800 0.600
392 5.100 9.300
393 5.100 4.200
394 2.600 7.200
395 2.300 8.100
396 8.400 4.900
397 2.600 7.700
398 1.600 9.300
399 3.900 7.800
400 7.200 1.600
401 5.400 6.600
402 6.700 2.400
403 6.000 1.800
404 2.200 6.900
405 2.200 1.600
406 4.600 8.700
407 0.100 4.600
408 5.700 6.600
409 2.600 3.200
410 8.500 5.100
411 5.600 8.500
412 8.200 2.300
413 1.200 0.100
414 5.000 8.000
415 5.900 5.200
416 0.500 0.500
417 9.400 6.000
418 4.600 6.800
419 0.400 2.700
420 4.200 9.600
421 5.000 3.700
422 0.200 8.000
423 8.600 4.000
424 9.800 5.300
425 0.700 6.200
426 0.500 1.500
427 4.700 1.000
428 5.100 9.100
429 9.600 2.100
430 7.400 0.100
431 9.500 6.500
432 4.300 7.900
433 0.500 9.600
434 8.100 9.700
435 0.700 8.700
436 0.900 0.900
437 0.300 3.000
438 5.700 3.300
439 6.300 9.600
440 0.200 7.600
441 2.000 1.900
442 6.100 7.500
443 6.800 0.200
444 1.000 9.400
445 5.800 7.100
446 1.000 4.400
447 0.300 7.300
448 4.200 1.800
449 3.800 7.800
450 8.300 1.300
451 6.200 7.500
452 2.300 2.100
453 5.100 4.600
454 4.200 9.500
455 6.200 1.500
456 5.100 9.900
457 0.000 8.400
458 6.500 8.100
459 6.000 9.700
460 8.500 6.500
461 2.200 5.600
462 2.400 8.200
463 0.700 1.000
464 2.700 0.600
465 4.700 3.400
466 6.700 5.700
467 7.300 3.200
468 8.900 3.900
469 5.900 9.600
470 6.500 6.000
471 4.000 6.000
472 2.100 1.500
473 4.100 1.000
474 4.400 7.300
475 1.600 4.800
476 6.800 3.400
477 1.400 5.600
478 5.100 0.100
479 0.800 4.200
480 8.100 5.700
481 4.700 1.500
482 5.100 0.300
483 9.700 9.800
484 0.200 6.000
485 5.300 8.100
486 4.300 6.400
487 3.100 7.500
488 7.900 9.500
489 3.500 5.900
490 3.700 1.700
491 6.000 0.600
492 9.900 6.200
493 6.900 7.900
494 1.800 8.000
495 4.100 3.300
496 5.800 4.400
497 5.800 5.000
498 6.100 2.000
499 1.800 7.000
500 6.600 3.100
LISTA_ARISTAS_REQ :
(   4, 246)  coste     1.800    1.800
(   5, 17)  coste     7.500    7.500
(   7, 50)  coste     2.700    2.700
(  13, 347)  coste     8.500    8.500
(  13, 410)  coste     8.600    8.600
(  14, 409)  coste     9.500    9.500
(  18, 488)  coste     5.800    5.800
(  19, 437)  coste     7.500    7.500
(  21, 217)  coste     10.300    10.300
(  25, 104)  coste     3.900    3.900
(  26, 401)  coste     4.600    4.600
(  27, 301)  coste     4.200    4.200
(  30, 148)  coste     12.300    12.300
(  31, 110)  coste     6.900    6.900
(  32, 462)  coste     4.400    4.400
(  37, 423)  coste     8.500    8.500
(  39, 377)  coste     3.900    3.900
(  42, 256)  coste     6.800    6.800
(  45, 180)  coste     4.200    4.200
