NOMBRE : N500E2000R100_04
COMENTARIO : Generated instance
VERTICES : 500
ARISTAS_REQ : 100
ARISTAS_NOREQ : 1900
COORDS :
1 4.200 4.600
2 0.700 9.000
3 1.900 5.400
4 2.200 9.100
5 3.200 0.500
6 4.400 1.900
7 7.200 1.500
8 4.700 5.100
9 3.900 5.500
10 6.700 5.000
11 9.500 6.100
12 3.200 2.700
13 2.500 1.400
14 6.800 4.300
15 1.400 6.000
16 2.600 8.000
17 3.300 1.800
18 5.800 1.200
19 5.700 7.300
20 2.900 4.800
21 7.700 6.500
22 3.600 0.400
23 2.800 1.400
24 1.900 1.400
25 3.800 2.800
26 0.500 6.300
27 3.400 1.600
28 8.100 5.100
29 7.900 6.500
30 6.200 4.600
31 6.800 7.500
32 9.400 5.700
33 2.900 6.900
34 8.900 1.000
35 1.300 4.900
36 8.700 9.900
37 3.200 6.700
38 1.500 0.800
39 1.700 9.600
40 6.000 3.300
41 1.400 6.600
42 1.700 4.300
43 9.600 7.700
44 1.900 2.600
45 2.000 1.900
46 3.400 3.800
47 8.300 0.700
48 4.400 4.000
49 6.700 4.500
50 1.800 1.400
51 0.900 5.700
52 1.700 7.600
53 9.500 4.900
54 8.700 3.800
55 2.500 6.400
56 4.800 0.700
57 9.400 1.500
58 3.500 9.100
59 0.400 4.900
60 7.800 9.700
61 9.500 7.800
62 0.800 7.100
63 5.900 7.700
64 8.200 9.400
65 7.500 8.900
66 4.900 9.300
67 9.200 9.100
68 2.700 2.900
69 2.800 2.600
70 0.400 3.500
71 2.200 1.600
72 8.900 5.300
73 1.500 6.100
74 8.700 5.600
75 6.000 7.300
76 2.400 2.600
77 4.500 5.700
78 7.200 9.900
79 7.000 6.700
80 1.300 9.300
81 3.900 9.600
82 7.100 0.300
83 7.700 4.900
84 1.300 3.600
85 2.100 6.300
86 3.700 3.800
87 7.600 4.500
88 2.000 3.300
89 2.800 4.300
90 5.300 5.600
91 2.100 0.700
92 5.800 3.200
93 5.200 9.800
94 8.200 2.000
95 3.300 7.300
96 3.600 7.700
97 8.000 8.500
98 6.700 5.500
99 3.100 8.900
100 5.200 5.300
101 7.100 1.600
102 7.800 1.700
103 6.200 5.600
104 0.600 7.500
105 8.300 5.700
106 7.100 3.200
107 9.100 2.700
108 4.800 4.500
109 4.900 7.100
110 4.600 9.800
111 3.200 4.800
112 7.700 1.500
113 0.800 0.700
114 4.000 2.900
115 9.100 9.600
116 4.100 9.400
117 4.600 4.500
118 6.700 2.800
119 1.500 9.200
120 1.700 0.000
121 3.100 5.500
122 3.600 9.100
123 4.700 9.600
124 6.400 8.600
125 8.000 9.400
126 0.800 5.400
127 8.000 5.600
128 3.500 9.800
129 7.200 9.100
130 8.900 3.400
131 6.500 0.400
132 0.900 2.300
133 4.300 3.600
134 8.600 1.200
135 9.100 8.900
136 1.700 8.600
137 5.500 1.100
138 7.600 7.800
139 4.900 5.700
140 5.200 2.800
141 5.000 5.700
142 4.900 6.200
143 4.100 5.800
144 4.400 7.400
145 9.300 3.400
146 5.100 8.700
147 8.000 8.000
148 0.100 6.600
149 6.200 3.600
150 3.000 6.300
151 2.300 0.900
152 6.800 0.300
153 9.900 1.600
154 6.400 6.800
155 3.800 6.400
156 1.500 5.200
157 9.300 0.300
158 1.300 4.300
159 1.600 4.400
160 6.700 3.800
161 4.100 2.100
162 1.700 2.300
163 9.200 6.600
164 7.300 5.300
165 2.700 2.000
166 1.600 5.500
167 0.900 0.600
168 1.900 6.900
169 3.800 0.300
170 2.300 5.400
171 5.700 9.200
172 1.800 0.800
173 4.500 4.500
174 3.200 0.700
175 1.700 7.500
176 8.300 2.900
177 3.100 9.900
178 8.900 8.400
179 8.900 4.300
180 5.500 3.400
181 8.100 4.700
182 1.000 0.000
183 9.000 5.300
184 2.500 0.000
185 7.500 4.000
186 6.500 2.100
187 7.000 2.700
188 1.800 8.500
189 7.000 1.900
190 3.700 1.700
191 1.900 4.800
192 0.100 8.500
193 1.300 8.900
194 3.300 9.200
195 1.900 8.600
196 1.900 5.200
197 6.500 3.700
198 9.800 8.600
199 4.700 9.200
200 1.700 0.300
201 3.600 7.000
202 9.500 3.300
203 9.000 1.400
204 7.800 1.100
205 1.300 6.900
206 5.300 4.700
207 9.200 5.200
208 0.000 6.700
209 2.000 8.000
210 1.400 5.900
211 1.400 2.200
212 7.000 5.800
213 2.200 5.500
214 6.200 9.500
215 3.200 3.600
216 7.600 2.300
217 6.000 3.500
218 3.800 0.500
219 3.000 2.600
220 4.400 2.600
221 0.700 9.100
222 1.700 5.500
223 1.000 5.500
224 8.800 7.500
225 2.400 3.800
226 1.600 6.200
227 9.400 8.900
228 0.400 2.700
229 1.800 1.600
230 8.400 8.600
231 3.400 4.600
232 1.400 2.800
233 9.100 7.400
234 7.500 5.700
235 0.500 7.700
236 8.400 8.200
237 3.700 7.900
238 2.800 0.000
239 1.500 4.600
240 8.500 6.100
241 8.600 5.600
242 1.300 7.500
243 0.800 2.500
244 5.500 7.600
245 5.500 3.300
246 8.400 1.500
247 9.800 1.800
248 9.700 4.200
249 7.900 4.900
250 9.900 0.700
251 9.200 8.800
252 4.000 3.000
253 2.300 6.600
254 4.500 4.300
255 5.100 7.500
256 9.600 0.400
257 6.400 0.400
258 2.100 1.700
259 6.400 1.200
260 2.600 8.100
261 3.500 4.000
262 0.700 2.300
263 5.600 6.000
264 5.200 4.300
265 6.200 7.900
266 0.000 9.100
267 8.600 9.600
268 6.000 3.900
269 1.600 8.300
270 7.100 8.800
271 0.800 1.000
272 5.200 7.200
273 5.000 9.000
274 2.800 8.200
275 1.400 0.200
276 0.600 6.500
277 0.600 2.300
278 7.100 2.300
279 0.200 0.800
280 0.100 2.600
281 5.300 8.600
282 7.100 4.900
283 2.400 3.700
284 0.700 2.200
285 1.300 1.600
286 3.900 2.400
287 5.800 4.400
288 8.200 7.200
289 7.700 7.200
290 8.800 0.100
291 4.900 6.900
292 1.400 4.500
293 8.900 6.000
294 5.400 8.300
295 0.600 7.100
296 0.500 6.600
297 8.400 4.500
298 0.700 8.200
299 1.000 4.700
300 5.900 3.000
301 8.000 8.100
302 4.200 2.700
303 1.400 7.100
304 5.800 9.500
305 5.600 7.700
306 3.100 3.400
307 5.900 6.900
308 5.000 7.300
309 5.400 9.200
310 8.400 5.500
311 0.800 9.700
312 7.300 0.100
313 1.400 3.500
314 2.400 1.500
315 5.900 2.700
316 8.500 3.300
317 9.800 3.000
318 7.400 9.500
319 7.400 8.200
320 6.300 5.200
321 6.600 1.000
322 6.400 1.100
323 5.200 6.700
324 2.900 8.400
325 8.700 8.600
326 1.500 5.100
327 5.800 6.600
328 0.100 3.300
329 1.200 6.300
330 5.000 1.800
331 9.300 1.400
332 7.900 8.500
333 3.600 6.200
334 3.100 0.600
335 1.000 3.000
336 6.700 6.000
337 2.300 4.600
338 9.900 6.800
339 3.200 3.700
340 6.600 5.300
341 7.100 9.900
342 9.100 0.000
343 8.700 0.400
344 8.700 4.400
345 5.800 1.500
346 5.100 6.200
347 1.600 8.000
348 2.900 5.400
349 1.800 6.700
350 9.200 9.300
351 4.300 8.700
352 0.900 4.400
353 1.500 4.200
354 3.200 0.600
355 0.500 0.600
356 9.800 7.600
357 8.500 9.700
358 1.600 6.500
359 6.500 2.300
360 5.900 6.200
361 0.300 8.700
362 5.200 8.900
363 5.900 8.000
364 6.500 8.000
365 1.200 9.600
366 1.800 9.300
367 3.300 8.600
368 9.200 0.500
369 2.600 3.100
370 1.300 2.100
371 3.500 2.900
372 2.000 5.600
373 9.700 6.100
374 7.300 3.600
375 2.300 7.600
376 4.100 0.900
377 9.600 8.800
378 2.800 3.000
379 5.700 2.600
380 8.000 5.900
381 9.200 3.500
382 1.100 4.000
383 7.400 9.400
384 4.900 9.700
385 3.400 5.500
386 2.300 8.000
387 2.100 5.800
388 4.700 1.200
389 1.300 3.700
390 4.400 0.800
391 9.000 3.800
392 3.600 4.300
393 1.900 8.900
394 6.000 0.100
395 6.700 4.300
396 7.200 5.100
397 9.400 8.300
398 9.000 0.300
399 7.500 7.000
400 7.000 5.700
401 3.400 6.500
402 7.600 4.900
403 2.000 4.600
404 8.100 6.800
405 2.500 0.300
406 6.200 2.300
407 1.600 9.100
408 7.800 4.000
409 7.300 5.800
410 9.300 1.600
411 8.500 6.200
412 4.700 4.100
413 6.600 9.300
414 2.900 1.500
415 4.100 0.500
416 5.600 7.600
417 5.500 2.400
418 8.400 2.500
419 8.300 3.500
420 9.200 4.000
421 0.300 8.300
422 4.400 2.100
423 5.200 8.800
424 3.600 6.300
425 2.000 6.100
426 7.200 1.600
427 3.400 4.000
428 9.300 5.300
429 9.200 0.900
430 5.600 0.000
431 6.900 2.400
432 8.700 9.200
433 7.100 8.200
434 5.100 4.400
435 8.600 4.600
436 9.200 5.400
437 0.700 6.800
438 8.500 0.700
439 3.200 6.900
440 6.100 2.600
441 3.000 5.300
442 2.900 7.400
443 2.600 8.300
444 1.400 9.700
445 2.900 6.000
446 6.000 1.600
447 1.700 9.700
448 0.300 0.300
449 2.900 6.800
450 8.000 1.500
451 4.100 0.800
452 5.100 9.600
453 1.700 3.100
454 6.600 9.200
455 4.700 5.600
456 7.400 5.100
457 6.800 7.400
458 5.600 9.200
459 0.000 1.300
460 4.600 9.200
461 1.200 8.400
462 9.800 5.700
463 2.900 3.600
464 8.700 3.400
465 8.900 6.800
466 9.600 6.900
467 0.500 2.800
468 7.800 0.700
469 8.300 5.300
470 8.400 0.800
471 5.000 1.200
472 0.500 7.800
473 2.500 2.900
474 6.500 6.200
475 6.700 0.500
476 0.300 2.600
477 5.800 3.100
478 4.500 4.100
479 8.200 4.000
480 4.200 0.500
481 5.700 4.800
482 8.500 6.800
483 2.200 8.900
484 0.300 7.300
485 7.500 2.500
486 4.600 9.700
487 5.600 4.700
488 4.200 5.600
489 1.400 0.000
490 2.200 4.900
491 7.400 2.500
492 2.900 6.700
493 8.300 7.200
494 6.900 6.200
495 6.200 9.600
496 4.100 3.000
497 0.600 2.400
498 5.200 1.900
499 5.300 7.200
500 9.000 3.600
LISTA_ARISTAS_REQ :
(   1, 404)  coste     6.100    6.100
(   2, 298)  coste     0.800    0.800
(   2, 349)  coste     3.400    3.400
(   2, 375)  coste     3.000    3.000
(   4, 168)  coste     2.500    2.500
(   7, 305)  coste     7.800    7.800
(   7, 457)  coste     6.300    6.300
(   8, 169)  coste     5.700    5.700
(  10, 205)  coste     7.300    7.300
(  14, 208)  coste     9.200    9.200
(  15, 369)  coste     4.100    4.100
(  17, 36)  coste     13.500    13.500
(  18, 45)  coste     4.500    4.500
(  27, 122)  coste     7.700    7.700
(  31, 242)  coste     5.500    5.500
(  33, 408)  coste     7.800    7.800
(  34, 359)  coste     3.700    3.700
(  41, 256)  coste     14.400    14.400
(  43, 270)  coste     3.600    3.600
