NOMBRE : N500E2000R100_03
COMENTARIO : Generated instance
VERTICES : 500
ARISTAS_REQ : 100
ARISTAS_NOREQ : 1900
COORDS :
1 1.600 5.700
2 9.200 7.900
3 0.400 3.700
4 4.000 8.800
5 7.900 4.100
6 3.600 0.700
7 3.300 9.700
8 4.800 9.800
9 6.200 8.800
10 1.900 9.400
11 3.900 3.800
12 2.500 2.100
13 6.100 5.600
14 6.500 0.000
15 6.200 9.200
16 5.600 0.000
17 9.900 9.500
18 7.600 7.700
19 3.600 7.500
20 1.600 4.900
21 5.000 9.600
22 9.700 4.700
23 6.100 7.800
24 3.900 7.400
25 6.000 2.500
26 0.400 0.500
27 5.800 7.300
28 6.800 2.800
29 4.500 9.300
30 6.300 7.800
31 1.400 0.400
32 8.300 2.500
33 0.300 7.700
34 3.000 6.600
35 2.300 9.300
36 7.300 5.700
37 8.500 4.000
38 6.700 3.500
39 1.500 8.200
40 8.600 0.400
41 7.600 7.600
42 1.200 4.500
43 9.800 9.200
44 2.400 0.800
45 1.600 7.300
46 8.100 1.400
47 1.900 3.300
48 0.400 1.900
49 6.400 7.300
50 2.100 7.900
51 7.400 1.000
52 6.300 1.700
53 3.100 0.500
54 4.800 7.700
55 7.900 7.200
56 6.900 4.200
57 3.700 4.100
58 4.800 1.900
59 9.500 8.900
60 8.400 0.400
61 2.400 4.700
62 4.100 8.800
63 2.100 6.300
64 6.200 5.900
65 9.400 4.500
66 8.000 7.000
67 7.900 1.000
68 0.300 7.800
69 2.700 9.100
70 0.000 0.400
71 5.200 7.800
72 5.600 0.700
73 6.100 4.900
74 9.800 9.600
75 1.600 5.500
76 5.000 9.100
77 4.000 4.200
78 0.400 5.900
79 3.000 3.700
80 3.200 1.700
81 4.800 1.100
82 1.800 5.700
83 4.800 4.900
84 0.800 5.400
85 4.300 9.900
86 4.600 5.400
87 9.600 1.600
88 5.300 9.500
89 6.200 6.700
90 6.300 0.800
91 0.000 8.500
92 9.200 7.800
93 4.800 9.600
94 3.700 7.000
95 4.300 6.500
96 3.400 1.400
97 8.900 7.200
98 3.900 0.900
99 9.200 9.100
100 3.200 1.000
101 3.700 6.900
102 7.700 9.500
103 0.300 1.500
104 0.100 5.700
105 3.700 0.400
106 4.700 6.900
107 0.900 5.100
108 8.200 8.500
109 8.700 7.700
110 5.200 2.900
111 5.200 4.600
112 7.000 2.700
113 9.100 6.200
114 3.100 2.600
115 1.700 9.000
116 9.200 4.000
117 4.600 0.800
118 2.700 0.300
119 8.100 7.300
120 3.800 2.100
121 1.200 5.400
122 1.700 1.700
123 0.000 1.200
124 3.400 1.900
125 2.700 7.700
126 2.300 1.500
127 4.900 8.500
128 0.300 5.500
129 0.000 3.800
130 8.700 1.800
131 0.700 1.800
132 3.600 6.100
133 9.200 7.700
134 8.100 2.200
135 6.900 0.100
136 5.200 8.000
137 3.500 7.500
138 1.200 5.800
139 3.700 9.500
140 2.100 7.800
141 5.000 0.400
142 7.000 2.300
143 9.400 3.300
144 6.700 1.300
145 8.200 2.800
146 9.000 5.600
147 6.600 3.300
148 8.900 7.400
149 8.900 1.200
150 7.100 7.600
151 4.400 2.500
152 7.000 5.300
153 8.900 0.800
154 9.800 5.500
155 1.500 3.100
156 7.000 2.800
157 7.100 6.000
158 2.700 5.000
159 7.800 0.700
160 1.500 3.000
161 5.000 8.400
162 7.300 6.100
163 5.900 1.900
164 5.300 8.700
165 5.900 0.500
166 1.200 9.200
167 3.000 4.100
168 3.600 1.300
169 7.900 8.300
170 7.900 2.900
171 5.500 7.200
172 9.800 5.600
173 7.000 3.400
174 0.800 9.600
175 7.600 6.700
176 3.300 1.900
177 6.400 2.500
178 2.000 0.800
179 5.700 6.600
180 6.400 3.800
181 1.600 7.200
182 2.600 6.600
183 9.400 1.400
184 1.500 7.500
185 0.500 8.100
186 5.500 6.700
187 5.700 2.300
188 6.300 6.300
189 8.100 5.800
190 5.900 0.200
191 1.000 4.800
192 7.600 3.300
193 2.300 1.400
194 0.100 1.800
195 6.300 8.700
196 6.900 4.600
197 4.900 9.400
198 4.400 8.100
199 8.800 2.200
200 7.400 3.900
201 3.900 6.400
202 5.100 1.400
203 1.300 8.700
204 1.700 0.100
205 4.200 3.000
206 4.000 6.300
207 4.200 8.800
208 3.400 9.400
209 6.800 9.800
210 9.300 8.800
211 1.600 4.800
212 7.500 2.300
213 2.000 5.500
214 1.500 4.000
215 0.800 5.300
216 8.900 8.800
217 0.200 4.600
218 7.900 1.800
219 8.800 0.800
220 6.100 1.500
221 3.300 4.800
222 6.300 9.200
223 6.100 5.900
224 7.100 2.300
225 8.500 0.400
226 4.700 5.100
227 8.700 4.800
228 3.300 1.000
229 4.800 9.700
230 4.900 7.800
231 6.500 2.700
232 3.400 9.300
233 2.400 8.100
234 0.900 9.100
235 3.800 9.200
236 9.800 9.000
237 0.500 0.600
238 5.600 1.800
239 9.500 0.100
240 7.200 2.600
241 0.300 0.900
242 8.100 5.600
243 9.400 9.900
244 5.100 0.300
245 7.600 0.900
246 1.900 4.600
247 8.100 9.800
248 3.800 1.100
249 4.200 9.400
250 6.600 9.600
251 9.300 7.200
252 6.700 1.900
253 7.900 1.500
254 6.600 8.600
255 1.500 7.600
256 4.500 7.000
257 5.500 0.200
258 7.200 2.700
259 9.200 0.900
260 5.600 0.900
261 0.100 4.300
262 7.300 5.900
263 7.300 9.000
264 0.400 1.600
265 3.200 7.700
266 0.200 9.600
267 7.400 0.600
268 7.200 4.100
269 0.700 1.400
270 9.800 6.600
271 6.600 9.000
272 1.400 5.300
273 7.700 2.000
274 4.700 4.000
275 4.900 1.600
276 0.300 5.800
277 1.800 7.700
278 7.700 6.800
279 0.600 7.300
280 2.300 7.400
281 3.100 7.000
282 1.200 3.800
283 6.500 5.900
284 0.500 7.200
285 6.400 8.800
286 1.700 8.600
287 7.300 4.200
288 2.000 2.400
289 9.600 9.800
290 2.700 7.400
291 0.300 2.300
292 3.900 4.700
293 4.800 4.800
294 2.500 2.200
295 2.500 3.300
296 9.400 2.900
297 2.300 8.100
298 0.800 5.100
299 6.300 2.700
300 1.600 6.200
301 4.300 0.900
302 2.900 8.800
303 6.700 6.700
304 4.500 7.300
305 1.300 1.000
306 6.000 4.800
307 1.400 3.300
308 3.300 9.100
309 3.900 0.300
310 2.500 7.100
311 5.700 7.400
312 9.500 1.000
313 9.100 4.800
314 2.000 9.600
315 8.500 9.800
316 7.000 7.900
317 8.400 5.600
318 9.200 4.500
319 1.900 0.000
320 9.200 8.700
321 8.800 1.400
322 5.700 0.500
323 0.500 9.500
324 9.000 5.400
325 3.200 9.800
326 0.500 9.100
327 4.400 6.000
328 6.700 5.200
329 3.800 0.800
330 5.300 5.400
331 7.400 2.700
332 1.900 0.300
333 9.600 6.700
334 0.300 1.800
335 8.700 8.700
336 0.400 4.700
337 9.000 1.400
338 4.300 1.700
339 3.400 6.300
340 7.300 7.800
341 9.800 5.800
342 5.000 5.800
343 5.700 5.300
344 0.800 3.000
345 0.600 8.200
346 7.700 1.500
347 8.300 3.500
348 0.800 7.600
349 2.900 3.000
350 9.200 4.300
351 1.300 1.900
352 5.400 2.300
353 6.700 1.000
354 0.700 6.800
355 7.600 4.900
356 8.500 7.200
357 4.800 3.800
358 0.600 0.500
359 4.000 6.000
360 1.700 8.200
361 4.300 2.400
362 0.100 9.200
363 0.900 2.800
364 4.500 6.200
365 3.900 8.200
366 6.500 2.900
367 0.900 5.600
368 8.000 8.800
369 5.100 9.600
370 6.500 3.100
371 3.400 2.600
372 4.500 7.800
373 5.900 6.400
374 9.800 3.100
375 1.400 1.300
376 0.400 4.200
377 9.100 5.800
378 1.200 9.000
379 1.100 1.100
380 0.800 1.900
381 3.800 8.300
382 3.400 5.800
383 7.400 9.300
384 5.500 0.400
385 8.400 6.400
386 5.600 9.800
387 7.900 3.400
388 1.200 9.700
389 2.400 4.600
390 7.200 9.500
391 4.500 8.600
392 5.200 3.300
393 6.900 7.500
394 0.000 2.200
395 6.600 1.000
396 5.800 9.800
397 9.900 9.700
398 1.300 9.800
399 4.600 6.400
400 5.200 6.100
401 5.500 7.100
402 3.900 9.900
403 9.400 8.700
404 5.400 9.700
405 7.900 5.000
406 1.300 7.800
407 6.300 3.800
408 3.300 1.700
409 9.500 7.000
410 0.200 0.000
411 5.800 4.400
412 4.400 0.500
413 8.600 5.400
414 8.400 4.800
415 7.600 0.200
416 4.200 3.900
417 4.600 9.700
418 6.700 2.500
419 1.300 5.700
420 5.800 6.300
421 9.700 6.800
422 6.700 1.500
423 5.500 1.800
424 8.300 4.800
425 3.000 4.000
426 1.000 2.000
427 2.600 0.900
428 3.700 5.500
429 2.900 9.200
430 3.700 0.500
431 7.400 7.300
432 8.600 8.400
433 5.600 9.200
434 5.200 3.800
435 0.400 1.700
436 9.500 1.800
437 2.300 6.900
438 5.600 4.800
439 1.500 6.700
440 1.400 7.300
441 8.700 2.500
442 1.900 2.000
443 8.600 3.300
444 0.300 5.300
445 9.900 2.300
446 7.700 3.000
447 3.600 5.100
448 6.800 1.500
449 3.700 1.100
450 5.000 5.700
451 6.900 5.900
452 2.100 6.000
453 4.100 0.300
454 3.100 5.700
455 3.500 2.700
456 1.300 1.700
457 5.400 0.600
458 3.700 6.700
459 3.800 4.900
460 1.800 0.500
461 5.000 1.100
462 8.100 2.100
463 3.300 0.900
464 2.400 6.800
465 2.300 1.300
466 2.600 4.000
467 7.200 5.200
468 1.700 1.000
469 5.500 3.900
470 4.200 0.700
471 8.500 5.900
472 9.400 8.500
473 5.400 5.900
474 4.400 1.100
475 2.000 2.100
476 5.300 2.100
477 4.000 3.200
478 8.800 5.600
479 3.300 6.000
480 5.600 6.400
481 9.900 0.300
482 3.000 6.200
483 3.100 3.500
484 8.400 5.500
485 2.300 8.300
486 0.100 4.700
487 5.600 2.500
488 9.500 6.400
489 6.200 2.800
490 0.900 3.200
491 2.500 4.100
492 9.300 1.300
493 8.500 8.200
494 7.800 0.800
495 3.800 6.500
496 8.200 9.400
497 8.900 0.100
498 1.800 5.300
499 5.600 0.100
500 7.300 6.500
LISTA_ARISTAS_REQ :
(   1, 319)  coste     6.000    6.000
(   5, 327)  coste     5.400    5.400
(   6, 362)  coste     12.000    12.000
(   7, 442)  coste     9.100    9.100
(   8, 83)  coste     4.900    4.900
(  15, 175)  coste     3.900    3.900
(  15, 476)  coste     8.000    8.000
(  17, 61)  coste     12.300    12.300
(  28, 156)  coste     0.200    0.200
(  32, 318)  coste     2.900    2.900
(  36, 110)  coste     4.900    4.900
(  36, 347)  coste     3.200    3.200
(  40, 387)  coste     3.700    3.700
(  44, 157)  coste     9.900    9.900
(  44, 249)  coste     10.400    10.400
(  45, 95)  coste     3.500    3.500
(  46, 133)  coste     7.400    7.400
(  49, 160)  coste     9.200    9.200
(  52, 265)  coste     9.100    9.100
