NOMBRE : N500E2000R100_05
COMENTARIO : Generated instance
VERTICES : 500
ARISTAS_REQ : 100
ARISTAS_NOREQ : 1900
COORDS :
1 7.200 9.000
2 6.300 7.100
3 4.000 3.800
4 8.300 3.000
5 2.100 1.700
6 8.700 3.800
7 8.700 7.000
8 0.300 2.300
9 5.200 1.800
10 4.000 4.200
11 2.200 3.400
12 2.000 4.900
13 8.400 4.800
14 9.600 8.600
15 8.500 3.200
16 0.200 0.000
17 5.900 7.100
18 5.000 2.200
19 2.700 7.300
20 4.300 1.200
21 7.300 8.400
22 4.500 3.200
23 2.500 1.400
24 0.300 6.200
25 5.100 0.500
26 5.600 1.700
27 2.800 2.000
28 4.400 8.000
29 7.700 9.600
30 3.700 4.300
31 0.500 8.300
32 2.400 4.500
33 9.000 3.400
34 8.700 6.400
35 2.700 2.700
36 6.900 2.900
37 1.900 6.000
38 2.500 9.700
39 1.000 3.400
40 7.900 8.500
41 9.000 6.600
42 5.300 3.200
43 7.400 5.500
44 9.100 3.400
45 7.600 2.700
46 6.200 0.400
47 1.800 8.100
48 8.700 9.300
49 3.500 2.800
50 2.000 3.000
51 8.600 8.000
52 1.500 5.200
53 2.400 0.100
54 3.100 2.100
55 7.400 1.600
56 1.600 6.300
57 0.700 8.200
58 0.300 4.400
59 4.600 1.000
60 9.400 0.700
61 9.100 9.200
62 2.700 7.700
63 5.000 6.700
64 2.200 9.700
65 5.800 2.000
66 7.500 9.100
67 0.400 7.800
68 7.400 4.500
69 2.100 5.100
70 3.100 5.200
71 7.200 5.400
72 1.100 9.200
73 0.200 5.000
74 6.100 3.800
75 6.300 7.200
76 3.600 7.600
77 0.600 5.900
78 8.300 9.200
79 3.400 0.600
80 3.100 8.500
81 0.800 5.300
82 8.300 0.100
83 1.700 3.200
84 5.200 5.900
85 1.200 2.100
86 5.800 4.400
87 1.500 5.000
88 1.200 9.500
89 2.600 7.500
90 8.300 1.400
91 7.600 0.200
92 6.400 3.600
93 5.200 9.800
94 4.800 1.700
95 1.100 5.800
96 9.000 0.000
97 8.500 5.400
98 8.100 2.200
99 9.600 3.500
100 1.800 4.100
101 9.700 2.700
102 8.800 8.600
103 3.500 8.700
104 1.100 0.900
105 4.800 5.800
106 0.500 1.100
107 4.800 9.300
108 1.200 5.500
109 7.700 3.600
110 7.900 3.400
111 7.800 0.500
112 9.200 9.200
113 5.900 9.500
114 3.600 3.900
115 7.100 7.800
116 1.000 4.200
117 8.800 4.200
118 7.100 1.300
119 9.500 8.500
120 8.900 7.100
121 7.300 0.200
122 3.700 6.200
123 7.100 7.700
124 2.500 1.500
125 0.100 0.300
126 5.500 1.400
127 0.300 5.200
128 5.500 0.000
129 6.000 6.400
130 4.300 3.700
131 7.000 6.600
132 4.500 8.400
133 7.100 2.600
134 4.800 9.700
135 9.300 3.900
136 5.000 7.500
137 8.600 8.200
138 1.100 1.500
139 8.800 5.500
140 9.700 3.200
141 6.000 2.000
142 3.100 5.000
143 5.000 2.600
144 8.700 3.600
145 4.600 3.200
146 1.600 2.900
147 0.400 6.300
148 1.800 6.900
149 6.000 1.300
150 2.400 6.700
151 0.600 2.600
152 3.800 0.500
153 0.600 1.700
154 7.300 2.600
155 9.300 1.800
156 7.700 2.000
157 0.900 5.800
158 3.600 4.400
159 0.500 4.000
160 5.500 9.400
161 5.700 3.800
162 2.600 1.700
163 7.200 8.000
164 8.800 6.700
165 0.400 1.400
166 9.700 8.500
167 9.600 8.900
168 7.600 9.300
169 4.200 3.700
170 8.300 2.300
171 7.900 0.700
172 1.500 1.800
173 4.400 3.800
174 2.200 8.100
175 8.900 3.800
176 4.100 8.000
177 3.200 2.400
178 6.000 9.600
179 1.100 1.800
180 6.700 3.900
181 3.600 9.500
182 9.400 3.200
183 3.000 7.200
184 5.100 0.200
185 3.400 5.600
186 6.000 0.900
187 8.300 4.200
188 4.700 5.000
189 3.600 2.000
190 2.800 2.300
191 4.500 2.800
192 7.500 7.700
193 1.100 2.900
194 1.100 8.700
195 1.200 3.300
196 3.100 3.000
197 6.600 2.500
198 0.500 4.500
199 6.500 0.700
200 4.800 7.500
201 4.400 2.000
202 0.800 4.300
203 5.600 2.000
204 0.600 3.800
205 7.800 6.700
206 3.700 6.100
207 2.700 8.400
208 3.000 3.700
209 0.400 9.400
210 0.300 7.700
211 6.500 0.800
212 1.300 7.100
213 9.200 9.100
214 0.300 8.000
215 4.700 2.800
216 7.300 4.100
217 7.800 3.700
218 8.100 1.900
219 5.100 9.200
220 8.300 5.100
221 8.100 3.000
222 2.400 7.400
223 3.700 3.600
224 1.000 3.100
225 9.000 7.700
226 2.500 9.600
227 7.200 4.500
228 5.800 3.700
229 8.700 0.500
230 2.300 0.200
231 7.100 1.000
232 9.400 5.300
233 5.300 3.300
234 8.100 0.700
235 7.200 0.700
236 0.900 9.900
237 1.000 7.200
238 0.500 9.800
239 7.200 2.300
240 5.500 4.000
241 9.400 2.000
242 2.300 6.300
243 9.000 9.200
244 4.300 7.700
245 1.100 6.800
246 0.700 7.800
247 6.800 3.000
248 5.200 4.300
249 1.900 3.000
250 0.400 7.600
251 5.000 8.300
252 7.100 9.000
253 6.500 8.500
254 3.200 7.800
255 0.800 5.400
256 4.300 7.900
257 2.000 7.600
258 8.100 9.800
259 1.700 2.100
260 3.600 9.100
261 9.100 2.500
262 5.200 6.300
263 5.400 6.000
264 2.200 9.900
265 4.100 6.000
266 2.000 6.900
267 6.800 4.400
268 5.700 2.000
269 5.500 8.300
270 5.200 8.500
271 5.300 0.200
272 4.800 3.200
273 8.400 9.600
274 5.500 3.600
275 7.100 5.100
276 9.000 8.800
277 7.700 4.400
278 0.500 0.600
279 9.400 6.600
280 1.200 4.900
281 6.000 1.200
282 0.900 1.000
283 7.300 2.500
284 5.700 3.100
285 7.200 5.200
286 2.500 4.700
287 9.300 6.100
288 0.300 1.300
289 5.500 0.300
290 8.100 9.400
291 2.300 6.800
292 4.000 8.200
293 8.600 4.600
294 9.900 6.500
295 6.000 5.400
296 0.100 9.300
297 0.700 9.500
298 9.400 1.500
299 0.200 4.900
300 7.500 4.300
301 0.800 7.000
302 2.300 6.500
303 8.100 9.500
304 5.900 8.600
305 6.300 5.800
306 0.300 9.300
307 6.500 5.800
308 2.100 3.900
309 4.700 3.500
310 0.000 6.000
311 9.400 5.900
312 2.700 6.200
313 7.600 8.600
314 6.800 1.600
315 9.700 4.700
316 3.600 1.600
317 6.900 2.800
318 8.800 8.100
319 1.200 0.200
320 4.200 5.900
321 6.600 2.600
322 1.500 4.800
323 0.400 5.100
324 5.000 8.100
325 7.300 8.700
326 9.700 1.600
327 2.600 5.400
328 8.800 4.000
329 7.700 6.400
330 2.300 6.700
331 2.500 5.900
332 3.800 8.000
333 3.300 4.000
334 6.700 3.000
335 8.200 2.800
336 5.300 7.900
337 8.400 6.300
338 7.900 7.700
339 5.500 7.300
340 7.700 0.200
341 0.600 0.100
342 7.800 6.900
343 3.700 7.100
344 6.700 0.500
345 6.400 8.800
346 6.700 2.400
347 7.400 0.200
348 4.200 3.600
349 5.500 1.000
350 0.400 2.100
351 6.900 4.800
352 3.800 1.000
353 3.000 7.600
354 0.000 5.100
355 0.100 4.500
356 3.700 5.400
357 6.700 6.400
358 4.000 7.700
359 3.300 6.600
360 5.600 1.600
361 9.600 7.000
362 8.100 4.900
363 5.800 5.000
364 9.100 6.400
365 1.000 4.700
366 7.600 0.300
367 2.400 2.000
368 1.500 4.600
369 7.100 2.500
370 3.900 8.900
371 5.900 9.100
372 9.700 4.500
373 7.700 7.200
374 8.100 1.400
375 3.900 5.100
376 0.100 1.500
377 1.700 0.700
378 6.200 7.600
379 4.600 2.500
380 5.400 7.200
381 5.200 4.200
382 4.600 4.900
383 4.400 3.000
384 1.500 4.700
385 4.700 8.800
386 8.900 8.900
387 0.300 8.500
388 9.300 8.500
389 9.700 9.400
390 9.800 9.400
391 5.600 0.500
392 3.700 7.000
393 7.500 6.400
394 1.500 0.300
395 6.700 7.700
396 0.700 1.100
397 0.600 9.000
398 3.600 0.900
399 2.500 6.700
400 3.300 5.000
401 4.800 2.300
402 7.400 8.900
403 1.500 9.100
404 0.900 6.200
405 9.600 1.200
406 3.300 1.800
407 4.000 6.500
408 8.100 1.600
409 1.900 1.200
410 1.200 7.500
411 0.500 9.500
412 9.600 6.400
413 7.700 6.200
414 6.300 0.200
415 4.100 2.000
416 2.000 9.500
417 6.200 9.700
418 6.200 8.700
419 9.500 4.100
420 9.000 3.000
421 4.200 0.000
422 2.300 4.100
423 3.700 6.800
424 0.700 6.500
425 2.600 0.300
426 9.900 3.200
427 9.600 3.900
428 5.300 1.700
429 5.600 7.700
430 7.300 8.100
431 7.000 9.800
432 5.900 4.500
433 3.800 5.200
434 3.600 4.500
435 4.500 2.000
436 9.000 1.300
437 2.900 0.000
438 4.400 4.300
439 6.700 6.900
440 1.000 9.100
441 0.700 2.100
442 2.200 5.400
443 9.500 7.400
444 4.900 8.300
445 4.100 0.800
446 3.900 6.900
447 2.100 8.600
448 5.900 3.600
449 2.000 1.400
450 7.900 0.200
451 5.500 8.500
452 7.200 6.600
453 9.000 5.400
454 1.000 1.600
455 9.800 9.300
456 7.700 3.800
457 4.000 9.300
458 4.900 8.500
459 4.400 9.500
460 8.400 7.600
461 4.100 9.900
462 4.200 6.400
463 8.500 8.300
464 9.400 4.500
465 0.900 3.100
466 6.000 9.400
467 1.800 3.900
468 2.700 7.100
469 7.700 3.000
470 3.500 4.600
471 0.400 8.500
472 4.000 1.600
473 6.000 4.200
474 2.100 9.300
475 8.000 6.300
476 5.100 8.000
477 6.200 2.700
478 3.400 4.400
479 4.100 4.800
480 6.500 4.300
481 3.000 2.000
482 2.700 5.100
483 2.500 2.700
484 4.100 8.200
485 1.900 4.900
486 4.400 6.000
487 1.800 9.400
488 4.600 8.900
489 1.000 0.300
490 5.600 9.800
491 9.800 9.500
492 2.100 3.400
493 7.400 4.100
494 0.900 1.600
495 2.000 9.800
496 4.900 2.200
497 9.500 2.200
498 9.200 1.300
499 8.700 5.100
500 6.100 3.100
LISTA_ARISTAS_REQ :
(   1, 442)  coste     8.600    8.600
(   2,  3)  coste     5.600    5.600
(   5, 175)  coste     8.900    8.900
(   6, 226)  coste     12.000    12.000
(   7, 61)  coste     2.600    2.600
(  11, 128)  coste     6.700    6.700
(  14, 166)  coste     0.200    0.200
(  18, 222)  coste     7.800    7.800
(  21, 257)  coste     6.100    6.100
(  22, 200)  coste     4.600    4.600
(  23, 322)  coste     4.400    4.400
(  26, 113)  coste     8.100    8.100
(  29, 205)  coste     3.000    3.000
(  34, 482)  coste     7.300    7.300
(  36, 113)  coste     7.600    7.600
(  36, 288)  coste     8.200    8.200
(  38, 52)  coste     5.500    5.500
(  39, 423)  coste     6.100    6.100
(  40, 221)  coste     5.700    5.700
